"","lon","lat"
"251",-121.4366218,43.8728066
"252",-123.3147592,43.3899889
"253",-122.7279332,44.3684151
"254",-122.7847301,42.2454562
"255",-121.279824,44.1309277
"256",-121.192883,45.6050036
"257",-122.7723132,45.4297521
"258",-123.8446394,45.4576317
"259",-123.9458323,44.6245654
"260",-122.7605377,45.3805628
"261",-118.9308544,45.1343568
"262",-119.3332899,45.9180975
"263",-117.8658391,45.2083709
"264",-118.1844969,44.436945
"265",-117.2392703,43.9828171
"266",-123.3546482,44.0551561
"267",-123.1975311,45.8589009
"268",-123.9123531,47.0123047
"269",-117.5271047,45.5699385
"270",-121.2698377,45.2279594
"271",-123.8998722,46.1630874
"272",-120.6980781,45.5912526
"273",-121.9622164,45.3467918
"274",-122.6399088,45.3847758
"275",-122.6467912,45.3641949
"276",-123.8809128,45.690462
"277",-123.4848561,45.0791946
"278",-122.772739,45.3036182
"279",-122.7660935,45.3342761
"280",-123.4196816,43.1198623
"281",-122.4186784,45.5423036
"282",-122.8335116,45.1498359
